product_id,name,brand,retailer,category,category_level_1,category_level_2,category_level_3,category_path,description,size,original_color,primary_hex_color,primary_color_family,hex_colors,price_currency,price_msrp,price_paid,normalized_price_msrp,normalized_price_paid,perma_price_msrp,perma_price_paid,perma_original_color,perma_size,quantity,purchased_at,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
1,1 Pound Bala Bangles,Bala,Shopbop,Workout,Accessories,Workout,,Accessories > Workout,"Bala's understated take on the workout accessory. It is cut from stretchy fabric, in heather. Styled for active.",One Size,Heather,#8B8A93,Grey,"[{""hex"":""#8B8A93"",""label"":""Heather"",""shade"":""Muted"",""family"":""Grey"",""coverage"":1.0,""role"":""primary""}]",USD,49,24.5,49,24.5,49,24.5,Heather,One Size,1,2022-06-01T23:52:38+00:00,Grey,,Stretchy,Solid,Active,,,,,,,,,,,,,,1-pound-bala-bangles.jpg
2,14k Gold Thin Band Ring,Zoe Chicco,Shopbop,Rings,Jewelry,Rings,,Jewelry > Rings,An elevated ring from Zoe Chicco. It is in yellow gold.,7,Yellow Gold,#F0CE39,Yellow,"[{""hex"":""#F0CE39"",""label"":""Yellow"",""shade"":""Mid"",""family"":""Yellow"",""coverage"":0.721,""role"":""primary""},{""hex"":""#C5AA4B"",""label"":""Yellow Gold"",""shade"":""Mid"",""family"":""Gold"",""coverage"":0.279,""role"":""accent""}]",USD,145,72.5,145,72.5,145,72.5,Yellow Gold,7,1,2023-06-17T12:59:45+00:00,Yellow,7,,,,,,,,,,,,,,,,,14k-gold-thin-band-ring.jpg
3,480 Court Sneakers,New Balance,Shopbop,Sneakers,Footwear,Sneakers,,Footwear > Sneakers,"A modern sneaker from New Balance. It is cut from leather fabric, in timberwolf/white, a flat (<1 in) heel. Styled for active.",M 6/ W 7.5,Timberwolf/White,#BFA487,Tan,"[{""hex"":""#BFA487"",""label"":""Tan"",""shade"":""Mid"",""family"":""Tan"",""coverage"":0.721,""role"":""primary""},{""hex"":""#FEFCF1"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":0.279,""role"":""accent""}]",USD,90,45,90,45,90,45,Timberwolf/White,M 6/ W 7.5,1,2024-09-11T21:23:00+00:00,Tan,,Leather,Solid,Active,,,,,,,,,Flat (<1 in),Flat,Round,,,480-court-sneakers.jpg
4,Addie Eyelet Flutter Sleeve Dress,Sea,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This polished sundress by Sea is a closet staple. It is cut from cotton fabric, in black, finished with a square neckline. Styled for everyday.",XS,Black,#221615,Black,"[{""hex"":""#221615"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,425,212.5,425,212.5,425,212.5,Black,XS,1,2023-06-17T12:59:45+00:00,Black,XS,Cotton,Solid,Everyday,Square,Short,Puffy,Midi,Mid,,,,,,,,,addie-eyelet-flutter-sleeve-dress.jpg
5,AMI De Coeur Unisex Hoodie,AMI,Shopbop,Sweatshirts,Tops,Sweatshirts,,Tops > Sweatshirts,"This versatile sweatshirt by AMI is a closet staple. It is cut from cotton fabric, in heather grey, finished with a hooded neckline. Styled for everyday.",XS,Heather Grey,#8B8793,Grey,"[{""hex"":""#8B8793"",""label"":""Heather Grey"",""shade"":""Muted"",""family"":""Grey"",""coverage"":1.0,""role"":""primary""}]",USD,375,281.25,375,281.25,375,281.25,Heather Grey,XS,1,2024-04-11T11:52:50+00:00,Grey,XS,Cotton,Solid,Everyday,Hooded,Long,,,,,,,,,,,Mid 1,ami-de-coeur-unisex-hoodie.jpg
6,Annia Bikini Bottoms,Eberjey,Shopbop,Bikinis,Bottoms,Swim,Bikinis,Bottoms > Swim > Bikinis,"This elevated bikini by Eberjey is a closet staple. It is cut from stretchy fabric, in ecru/black, sleeveless sleeves. Styled for vacation.",S,Ecru/Black,#171521,Black,"[{""hex"":""#171521"",""label"":""Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.721,""role"":""primary""},{""hex"":""#E7EAD4"",""label"":""Ecru"",""shade"":""Light"",""family"":""Cream"",""coverage"":0.279,""role"":""accent""}]",USD,88,44,88,44,88,44,Ecru/Black,S,1,2021-05-05T14:18:10+00:00,Black,S,Stretchy,Solid,Vacation,,Sleeveless,,Short,Mid,Short (<6 in),,,,,,,,annia-bikini-bottoms.jpg
7,Areaware Stacking Planter,Shopbop @Home,Shopbop,Home,Home,,,Home,Shopbop @Home's refined take on the home. It is in white.,One Size,White,#F0FFF1,White,"[{""hex"":""#F0FFF1"",""label"":""White"",""shade"":""Light"",""family"":""White"",""coverage"":1.0,""role"":""primary""}]",USD,32,16,32,16,32,16,White,One Size,1,2021-06-16T13:26:18+00:00,White,,,,,,,,,,,,,,,,,,areaware-stacking-planter.jpg
8,Ashaki Dress,BAUM UND PFERDGARTEN,Shopbop,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"BAUM UND PFERDGARTEN's modern take on the sundress. It is cut from cotton fabric, in a polkadot print, finished with a square neckline. Styled for everyday.",36,Black Star,#1D1619,Black,"[{""hex"":""#1D1619"",""label"":""Black Star"",""shade"":""Dark"",""family"":""Black"",""coverage"":1.0,""role"":""primary""}]",USD,329,164.5,329,164.5,329,164.5,Black Star,36,1,2021-05-05T14:18:10+00:00,Black,36,Cotton,Polkadot,Everyday,Square,Short,Puffy,Midi,Mid,,,,,,,,,ashaki-dress.jpg
9,Aviator Sunglasses,Prada,Shopbop,Eyewear,Eyewear,,,Eyewear,A refined eyewear from Prada. It is in matte black/dark grey.,One Size,Matte Black/Dark Grey,#859291,Grey,"[{""hex"":""#859291"",""label"":""Dark Grey"",""shade"":""Dark"",""family"":""Grey"",""coverage"":0.721,""role"":""primary""},{""hex"":""#231A17"",""label"":""Matte Black"",""shade"":""Dark"",""family"":""Black"",""coverage"":0.279,""role"":""accent""}]",USD,433,216.5,433,216.5,433,216.5,Matte Black/Dark Grey,One Size,1,2023-02-08T11:46:00+00:00,Grey,,,,,,,,,,,,,,,,,,aviator-sunglasses.jpg
10,Baby Chubbie Huggies,Loren Stewart,Shopbop,Earrings,Jewelry,Earrings,,Jewelry > Earrings,An elevated earring from Loren Stewart. It is in yellow gold.,One Size,Yellow Gold,#EBCF35,Yellow,"[{""hex"":""#EBCF35"",""label"":""Yellow"",""shade"":""Mid"",""family"":""Yellow"",""coverage"":0.721,""role"":""primary""},{""hex"":""#C0AC47"",""label"":""Yellow Gold"",""shade"":""Mid"",""family"":""Gold"",""coverage"":0.279,""role"":""accent""}]",USD,170,85,170,85,170,85,Yellow Gold,One Size,1,2020-11-16T14:56:56+00:00,Yellow,,,,,,,,,,,,,,,,,,baby-chubbie-huggies.jpg
