affiliate_product_row_id,affiliate_product_id,name,brand,retailer,department,category,category_level_1,category_level_2,category_level_3,category_path,description,availability,affiliate_condition,price_currency,price_msrp,price_sale,size,original_color,primary_hex_color,primary_color_family,material,pattern,original_product_category,attr_color,attr_size,attr_fabric,attr_print,attr_occasion,attr_neckline,attr_sleeve_length,attr_sleeve_shape,attr_length,attr_waist,attr_inseam,attr_leg_shape,attr_shaft_height,attr_heel_height,attr_heel_shape,attr_toe_shape,attr_closure,attr_layer,image_filename
1,ZOE-CHICCO-9923970,14k Heavy Metal Chain Ring,Zoe Chicco,Shopbop,WOMEN,Rings,Jewelry,Rings,,Jewelry > Rings,This modern ring by Zoe Chicco is a closet staple. It is in 14k yellow gold.,IN_STOCK,NEW,USD,695,417,7,14k Yellow Gold,#CEA93F,Gold,,,Jewelry > Rings,Gold,7,,,,,,,,,,,,,,,,,14k-heavy-metal-chain-ring.jpg
2,ZOE-CHICCO-7532027,14k White Gold Thin Band Ring,Zoe Chicco,Shopbop,WOMEN,Rings,Jewelry,Rings,,Jewelry > Rings,Zoe Chicco's structured take on the ring. It is in white gold.,IN_STOCK,NEW,USD,145,108.75,7,White Gold,#EFF4FA,White,,,Jewelry > Rings,White,7,,,,,,,,,,,,,,,,,14k-white-gold-thin-band-ring.jpg
3,AUTUMN-ADEIG-0472161,Alicia Dress,Autumn Adeigbo,Shopbop,WOMEN,Cocktail,Dresses,Cocktail,,Dresses > Cocktail,"A refined cocktail dress from Autumn Adeigbo. It is cut from cotton fabric, in cream/black, finished with a square neckline. Styled for event.",IN_STOCK,NEW,USD,875,875,2,Cream/Black,#212118,Black,Cotton,Solid,Dresses > Cocktail,Black,2,Cotton,Solid,Event,Square,Sleeveless,,Mini,High,,,,,,,,,alicia-dress.jpg
4,JONATHAN-SIM-3042248,Annette Loungewear Henley Dress,Jonathan Simkhai,Shopbop,WOMEN,Slipdresses,Dresses,Slipdresses,,Dresses > Slipdresses,"Jonathan Simkhai's structured take on the slipdress. It is cut from stretchy fabric, in ecru, finished with a v-neck neckline. Styled for lounge.",IN_STOCK,NEW,USD,395,395,S,Ecru,#F4EADD,Cream,Stretchy,Solid,Dresses > Slipdresses,Cream,S,Stretchy,Solid,Lounge,V-Neck,Sleeveless,,Midi,Mid,,,,Low (1 in - 2 in),,Round,Button,,annette-loungewear-henley-dress.jpg
5,ALEXANDER-WA-0409841,Anya Crystal Flat Slide Sandals,Alexander Wang,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"This versatile strappy shoe by Alexander Wang is a closet staple. It is cut from leather fabric, in black, sleeveless sleeves. Styled for everyday.",IN_STOCK,NEW,USD,495,297,38.5,Black,#1D141A,Black,Leather,Solid,Footwear > Sandals > Strappy,Black,38.5,Leather,Solid,Everyday,,Sleeveless,,,,,,,Flat (<1 in),Flat,Open,,,anya-crystal-flat-slide-sandals.jpg
6,ALEXANDER-WA-0409841-01,Anya Crystal Flat Slide Sandals - Black,Alexander Wang,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"Alexander Wang's understated take on the strappy shoe. It is cut from knit fabric, in black, a flat (<1 in) heel. Styled for everyday.",IN_STOCK,NEW,USD,495,495,38,Black,#22201B,Black,Knit,Solid,Footwear > Sandals > Strappy,Black,38,Knit,Solid,Everyday,,,,,,,,,Flat (<1 in),Flat,Square,,,anya-crystal-flat-slide-sandals.jpg
7,BIRKENSTOCK-6961829,Arizona Shearling Sandals,Birkenstock,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"Birkenstock's laid-back take on the strappy shoe. It is cut from leather fabric, in plaid white/natural, a flat (<1 in) heel. Styled for everyday.",OUT_OF_STOCK,USED,USD,125,87.5,38,Plaid White/Natural,#C0AB7F,Tan,Leather,Solid,Footwear > Sandals > Strappy,Tan,38,Leather,Solid,Everyday,,,,,,,,,Flat (<1 in),Flat,Open,Buckle,,arizona-shearling-sandals.jpg
8,BIRKENSTOCK-6961829-01,Arizona Shearling Sandals - Maroon/Maroon,Birkenstock,Shopbop,WOMEN,Strappy,Footwear,Sandals,Strappy,Footwear > Sandals > Strappy,"Birkenstock's refined take on the strappy shoe. It is cut from leather fabric, in maroon/maroon, a flat (<1 in) heel.",IN_STOCK,NEW,USD,150,105,38,Maroon/Maroon,#D02529,Red,Leather,Solid,Footwear > Sandals > Strappy,Red,38,Leather,Solid,,,,,,,,,,Flat (<1 in),Flat,Open,Buckle,,arizona-shearling-sandals.jpg
9,STAUD-1054322,Astro Dress,STAUD,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"A modern sundress from STAUD. It is cut from cotton fabric, in black, finished with a square neckline. Styled for everyday.",IN_STOCK,NEW,USD,375,375,0,Black,#1F181D,Black,Cotton,Solid,Dresses > Sundresses,Black,0,Cotton,Solid,Everyday,Square,Short,Puffy,Maxi,Mid,,,,,,,,,astro-dress.jpg
10,REFORMATION-6782836,Aubree Linen Dress,Reformation,Shopbop,WOMEN,Sundresses,Dresses,Sundresses,,Dresses > Sundresses,"This relaxed sundress by Reformation is a closet staple. It is cut from cotton fabric, in a stripe print, finished with a square neckline. Styled for everyday.",IN_STOCK,NEW,USD,98,98,S,Vineyard,#FFFCF7,White,Cotton,Stripe,Dresses > Sundresses,White,S,Cotton,Stripe,Everyday,Square,Sleeveless,,Mini,Mid,,,,,,,,,aubree-linen-dress.jpg
